Film,Acteurs,Realisateur,Genre,Annee,Duree
Blade Runner,Harrison Ford; Rutger Hauer; Sean Young; Edward James Olmos; M. Emmet Walsh,Ridley Scott,Science Fiction; Drama; Thriller,1982,117
Dinosaur,D. B. Sweeney; Alfre Woodard; Ossie Davis; Max Casella; Hayden Panettiere,Ralph Zondag,Animation; Family,2000,82
Jarhead,Jamie Foxx; Jake Gyllenhaal; Scott MacDonald; Lucas Black; Peter Sarsgaard,Sam Mendes,Drama; War,2005,125
The Last Kiss,Zach Braff; Jacinda Barrett; Casey Affleck; Rachel Bilson; Michael Weston,Tony Goldwyn,Comedy; Drama; Romance,2006,115
Dream House,Daniel Craig; Naomi Watts; Rachel Weisz; Marton Csokas; Elias Koteas,Jim Sheridan,Drama; Thriller; Mystery,2011,84
Hamlet,Kenneth Branagh; Derek Jacobi; Julie Christie; Richard Briers; Kate Winslet,Kenneth Branagh,Drama,1996,242
"4 Months, 3 Weeks and 2 Days",Anamaria Marinca; Laura Vasiliu; Vlad Ivanov; Alexandru Potocean; Luminița Gheorghiu,Cristian Mungiu,Drama,2007,113
Black Sea,Jude Law; Karl Davies; Jodie Whittaker; Daniel Ryan; Scoot McNairy,Kevin Macdonald,Adventure,2014,115
Hollywood Ending,Woody Allen; George Hamilton; Téa Leoni; Debra Messing; Mark Rydell,Woody Allen,Comedy; Drama,2002,112
Cries and Whispers,Harriet Andersson; Ingrid Thulin; Kari Sylwan; Liv Ullmann; Erland Josephson,Ingmar Bergman,Drama,1972,91
The Lords of Salem,Sheri Moon Zombie; Bruce Davison; Jeff Daniel Phillips; Judy Geeson; Meg Foster,Rob Zombie,Horror; Thriller,2012,101
Charlie Wilson's War,Tom Hanks; Philip Seymour Hoffman; Julia Roberts; Amy Adams; Om Puri,Mike Nichols,Comedy; Drama; History,2007,102
El Mariachi,Carlos Gallardo; Jaime de Hoyos; Peter Marquardt; Reinol Martinez; Ramiro Gomez,Robert Rodriguez,Action; Crime; Thriller,1992,81
Original Sin,Angelina Jolie; Antonio Banderas; Gregory Itzin; Jack Thompson; Allison Mackie,Michael Cristofer,Thriller,2001,118
The Next Karate Kid,Pat Morita; Hilary Swank; Michael Ironside; Constance Towers; Chris Conrad,Christopher Cain,Adventure,1994,107
The Devil's Candy,Ethan Embry; Shiri Appleby; Kiara Glasco; Pruitt Taylor Vince; Oryan West,Sean Byrne,Horror,2017,90
Lorenzo's Oil,Susan Sarandon; Nick Nolte; Peter Ustinov; Ann Hearn; Maduka Steady,George Miller,Drama,1992,135
What Women Want,Helen Hunt; Mel Gibson; Marisa Tomei; Lauren Holly; Mark Feuerstein,Nancy Meyers,Comedy; Romance,2000,127
Shaun the Sheep Movie,Justin Fletcher; Omid Djalili; Richard Webber; Kate Harbour; Tim Hands,Mark Burton,Family; Animation; Comedy; Adventure,2015,85
The Mexican,Brad Pitt; Julia Roberts; James Gandolfini; J.K. Simmons; Gene Hackman,Gore Verbinski,Action; Comedy; Crime; Romance,2001,123
"Me, Myself & Irene",Jim Carrey; Renée Zellweger; Anthony Anderson; Robert Forster; Richard Jenkins,Bobby Farrelly,Comedy,2000,116
Leaves of Grass,Susan Sarandon; Richard Dreyfuss; Keri Russell; Melanie Lynskey; Edward Norton,Tim Blake Nelson,Comedy; Crime; Drama; Thriller,2009,104
Tangled Ever After,Mandy Moore; Zachary Levi; Alan Dale; Paul F. Tompkins; Kari Wahlgren,Byron Howard,Animation; Comedy; Action; Family,2012,6
Armored,Columbus Short; Laurence Fishburne; Skeet Ulrich; Amaury Nolasco; Matt Dillon,Nimród Antal,Action; Crime; Drama; Thriller,2009,88
